category,grade,url,title,score,image2,image1,image3,image4,buy1,buy2,buy3,buy4
B-Complex,A+,https://labdoor.com/review/natures-bounty-b-complex-with-folic-acid-plus-vitamin-c,Nature's Bounty B-Complex With Folic Acid Plus Vitamin C,99.2,https://cdn.labdoor.io/w_400/product/images/9a7624da-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7624b4-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7624ff-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://iherb.prf.hn/click/camref:1101liyXD/destination:https%3A%2F%2Fwww.iherb.com%2Fpr%2FNature-s-Bounty-Super-B-Complex-with-Folic-Acid-Plus-Vitamin-C-150-Coated-Tablets%2F32457,https://www.amazon.com/Natures-Bounty-B-Complex-Vitamin-Cellular/dp/B0014D2GEK?dib=eyJ2IjoiMSJ9.3nQ_IwqO5obPByFrMSPEURU8b5zTCRrBIDxN4BMq1AxYYKVoq0m5-OgArUFR28CJ5xVm0GSwPenl_VzG-Gb5QWpqFTx2qle0pe5UI96z0wkt6-NIS34D_LBcy9wKSnr_024Le-8ACAg7LUHCalI8ZEIoVW4Em5j7xO2pUuYcSJL1KMWlUK2buaYxOFrCy8i0vd0KCTg77H79S4Fe_70QFm3cZenmBk8WUIdVc8Tq_TMa0ap_blELjdcQj0WhaHZ2a5sLz2W8xTecZWJ-8ir_sLjUzDpQZFJWFANKmgAqpQ8.8_nFR0UWfkZg7Fl9dMO_zKhW2-7gkAmkSGvFMQ9BReY&dib_tag=se&keywords=Nature%27s+Bounty+B-Complex+with+Folic+Acid+Plus+Vitamin+C&qid=1753444690&rdc=1&sr=8-1&linkCode=ll1&tag=lab02-20&linkId=55bd5143d7d9bf71b9ac56a8f4e46067&language=en_US&ref_=as_li_ss_tl,,
B-Complex,A+,https://labdoor.com/review/garden-of-life-vitamin-code-vitamin-b-complex,Garden Of Life Vitamin Code Vitamin B Complex,98.3,https://cdn.labdoor.io/w_400/product/images/9a762547-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a762522-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a76256c-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a762590-1448-11eb-9dfd-06f7a2c059a3.jpg,https://iherb.prf.hn/click/camref:1101liyXD/destination:https%3A%2F%2Fwww.iherb.com%2Fpr%2FGarden-of-Life-Vitamin-Code-RAW-B-Complex-120-Vegan-Capsules%2F46039,https://goto.walmart.com/c/2239968/568838/9383?veh=aff&sourceid=imp_000011112222333344&prodsku=47439573&u=https%3A%2F%2Fwww.walmart.com%2Fip%2FGarden-of-Life-Vitamin-Code-Vitamin-B-Complex-120-Capsules%2F47439573,https://www.amazon.com/Garden-Life-Vitamin-Complex-Capsules/dp/B0098U0SQO?ie=UTF8&qid=1466812727&sr=8-4&keywords=vitamin%2Bb&th=1&linkCode=ll1&tag=lab02-20&linkId=2b390fb3ab3b8cd0481c96d6d5f0b2b7&language=en_US&ref_=as_li_ss_tl,https://www.amazon.ca/Garden-Life-Vitamin-Code-B-Complex/dp/B00280M12A/ref=as_li_ss_tl?ie=UTF8&qid=1477088925&sr=8-1&keywords=garden+of+life+vitamin+b&linkCode=sl1&tag=lab02-20&linkId=c0f78b3e466cbce3c89cd7ad5eb07f80
B-Complex,A,https://labdoor.com/review/new-chapter-coenzyme-b-food-complex,New Chapter Coenzyme B Food Complex,94.3,https://cdn.labdoor.io/w_400/product/images/9a762821-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7627fc-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a762847-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a76286a-1448-11eb-9dfd-06f7a2c059a3.jpg,https://www.amazon.com/New-Chapter-Vitamin-Complex-Ingredients/dp/B01BH9ZQGU?dib=eyJ2IjoiMSJ9.EXvf2gLLQkSyEbFUjBwLCezhQTdCuH9tnFyneBQrh-DP-V0Z5Dal7BKcESK0nUMog_WcMxFDwegeSoc2JH6ccmprxtwY49uLllo8aY4sBKfit219zHnPD9celqJHkpoEJMyF65wAxzb7jpZNWhWvFB3KHlSLg1vGnpEzA0K_Z8yOjmpUdodhJO-wg7XUko2P3kkVephjRNgvotcv95GlhKvziFejqb-i9t_jLybUZa1n26dFJfuoZR2GDQtuTi0J3TKoYDjcb_Q1AdyVRis3TSNgF6_we1eLjEawZ--tYoo.E6tECSL_DFwcE0coTFPb93wEzivsJdRzOiAKFYVu01Y&dib_tag=se&keywords=New%2BChapter%2BCoenzyme%2BB%2BFood%2BComplex&qid=1753445563&rdc=1&sr=8-1&th=1&linkCode=ll1&tag=lab02-20&linkId=db5dea4318fd37ecfd2e7055a128b3e1&language=en_US&ref_=as_li_ss_tl,,,
B-Complex,A,https://labdoor.com/review/solgar-vitamin-b-complex,Solgar Vitamin B-Complex,92.4,https://cdn.labdoor.io/w_400/product/images/9a7625db-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7625b5-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7625ff-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a762623-1448-11eb-9dfd-06f7a2c059a3.jpg,https://iherb.prf.hn/click/camref:1101liyXD/destination:https%3A%2F%2Fwww.iherb.com%2Fpr%2FSolgar-B-Complex-100-100-Vegetable-Capsules%2F19437,https://www.amazon.com/Solgar-B-Complex-100-Veggie-Caps/dp/B000RZQNV8?ie=UTF8&qid=1466812727&sr=8-10&keywords=vitamin+b&th=1&linkCode=ll1&tag=lab02-20&linkId=7849bf0bbf2dd39930442a72156f9c50&language=en_US&ref_=as_li_ss_tl,,
B-Complex,A,https://labdoor.com/review/natures-way-b-50-complex,Nature's Way B-50 Complex,91,https://cdn.labdoor.io/w_400/product/images/9a7626d9-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7626b4-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7626fd-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://iherb.prf.hn/click/camref:1101liyXD/destination:https%3A%2F%2Fwww.iherb.com%2Fpr%2FNature-s-Way-B-50-Complex-100-Capsules%2F1857,https://www.amazon.com/Natures-Way-Vitamin-Capsules-100-Count/dp/B0001VTZ86?ie=UTF8&qid=1467075727&sr=8-18&keywords=vitamin+b+complex&th=1&linkCode=ll1&tag=lab02-20&linkId=4da28c8443bc69eae45f1dfa9431fccb&language=en_US&ref_=as_li_ss_tl,,
B-Complex,B+,https://labdoor.com/review/nature-made-super-b-energy-complex,Nature Made Super B Energy Complex,89.6,https://cdn.labdoor.io/w_400/product/images/9a7622c3-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a76229f-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7622e7-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://www.amazon.com/Nature-Made-Complex-Strength-Packaging/dp/B008PQDCG0?ie=UTF8&qid=1466811981&sr=8-1&keywords=vitamin%2Bb&th=1&linkCode=ll1&tag=lab02-20&linkId=1b1015acab828c405c71790d1ab27231&language=en_US&ref_=as_li_ss_tl,,,
Bacopa monnieri,A+,https://labdoor.com/review/nootropics-depot-bacognize-bacopa-monnieri-extract,Nootropics Depot Bacognize Bacopa Monnieri Extract,99.2,https://cdn.labdoor.io/w_400/product/images/9a7cd34a-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cd324-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cd36f-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://www.amazon.com/BaCognize-Ayurvedic-Nootropic-Management-Cognition/dp/B01B6E2G3C?s=hpc&ie=UTF8&qid=1513883080&sr=1-4&keywords=Nootropics+Depot+Bacognize+Bacopa+Monnieri+Extract&th=1&linkCode=ll1&tag=lab02-20&linkId=8a09c992b9bc53dcc4db1a77dd694f8e&language=en_US&ref_=as_li_ss_tl,,,
Bacopa monnieri,A+,https://labdoor.com/review/swanson-bacopa-monnieri-extract,Swanson Bacopa Monnieri Extract,99.1,https://cdn.labdoor.io/w_400/product/images/9a7cd202-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cd1de-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cd226-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://www.amazon.com/Swanson-Bacopa-Monnieri-Extract-Bacognize/dp/B0017OAI8C?s=hpc&ie=UTF8&qid=1513883233&sr=1-4&keywords=Swanson+Bacopa+Monnieri+Extract&linkCode=ll1&tag=lab02-20&linkId=e1a3f23b70f3eb5ed32f565d3df4c87f&language=en_US&ref_=as_li_ss_tl,,,
BCAA,A,https://labdoor.com/review/solgar-bcaa-plus,Solgar BCAA Plus,93.7,https://cdn.labdoor.io/w_400/product/images/9a725e13-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a725df0-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a725e37-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a725e5b-1448-11eb-9dfd-06f7a2c059a3.jpg,https://iherb.prf.hn/click/camref:1101liyXD/destination:https%3A%2F%2Fwww.iherb.com%2Fpr%2FSolgar-BCAA-Plus-Free-Form-100-Vegetable-Capsules%2F10414,https://www.amazon.com/Solgar-Branched-Chain-Vegetable-Capsules/dp/B00020I9T2?s=hpc&ie=UTF8&qid=1440097011&sr=1-1&keywords=Solgar+BCAA+Plus&linkCode=ll1&tag=lab02-20&linkId=b493523be38a93a366c09e946f0c3033&language=en_US&ref_=as_li_ss_tl,,
BCAA,A,https://labdoor.com/review/musclepharm-bcaa-3-1-2,MusclePharm BCAA 3:1:2,93,https://cdn.labdoor.io/w_400/product/images/9a72107f-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a72105a-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7210a2-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://iherb.prf.hn/click/camref:1101liyXD/p_id:1100l398042/destination:https://www.iherb.com/pr/musclepharm-essentials-bcaa-blue-raspberry-0-50-lbs-225-g/80645,https://www.amazon.com/gp/product/B00I9E4W4O?ie=UTF8&th=1&linkCode=ll1&tag=lab02-20&linkId=3b918ab3d87ce36c0395bd1d9a9cfa97&language=en_US&ref_=as_li_ss_tl,,
