category,grade,url,title,score,image2,image1,image3,image4,buy1,buy2,buy3,buy4
B-Complex,A+,https://labdoor.com/review/natures-bounty-b-complex-with-folic-acid-plus-vitamin-c,Nature's Bounty B-Complex With Folic Acid Plus Vitamin C,99.2,https://cdn.labdoor.io/w_400/product/images/9a7624da-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7624b4-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7624ff-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://labdoor.com/review/natures-bounty-b-complex-with-folic-acid-plus-vitamin-c/buy/12217,https://labdoor.com/review/natures-bounty-b-complex-with-folic-acid-plus-vitamin-c/buy/12219,,
B-Complex,A+,https://labdoor.com/review/garden-of-life-vitamin-code-vitamin-b-complex,Garden Of Life Vitamin Code Vitamin B Complex,98.3,https://cdn.labdoor.io/w_400/product/images/9a762547-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a762522-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a76256c-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a762590-1448-11eb-9dfd-06f7a2c059a3.jpg,https://labdoor.com/review/garden-of-life-vitamin-code-vitamin-b-complex/buy/12036,https://labdoor.com/review/garden-of-life-vitamin-code-vitamin-b-complex/buy/12037,https://labdoor.com/review/garden-of-life-vitamin-code-vitamin-b-complex/buy/12039,https://labdoor.com/review/garden-of-life-vitamin-code-vitamin-b-complex/buy/12040
B-Complex,A,https://labdoor.com/review/new-chapter-coenzyme-b-food-complex,New Chapter Coenzyme B Food Complex,94.3,https://cdn.labdoor.io/w_400/product/images/9a762821-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7627fc-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a762847-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a76286a-1448-11eb-9dfd-06f7a2c059a3.jpg,https://labdoor.com/review/new-chapter-coenzyme-b-food-complex/buy/12272,,,
B-Complex,A,https://labdoor.com/review/solgar-vitamin-b-complex,Solgar Vitamin B-Complex,92.4,https://cdn.labdoor.io/w_400/product/images/9a7625db-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7625b5-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7625ff-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a762623-1448-11eb-9dfd-06f7a2c059a3.jpg,https://labdoor.com/review/solgar-vitamin-b-complex/buy/12475,https://labdoor.com/review/solgar-vitamin-b-complex/buy/12477,,
B-Complex,A,https://labdoor.com/review/natures-way-b-50-complex,Nature's Way B-50 Complex,91,https://cdn.labdoor.io/w_400/product/images/9a7626d9-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7626b4-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7626fd-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://labdoor.com/review/natures-way-b-50-complex/buy/12247,https://labdoor.com/review/natures-way-b-50-complex/buy/12249,,
B-Complex,B+,https://labdoor.com/review/nature-made-super-b-energy-complex,Nature Made Super B Energy Complex,89.6,https://cdn.labdoor.io/w_400/product/images/9a7622c3-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a76229f-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7622e7-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://labdoor.com/review/nature-made-super-b-energy-complex/buy/12215,,,
Bacopa monnieri,A+,https://labdoor.com/review/nootropics-depot-bacognize-bacopa-monnieri-extract,Nootropics Depot Bacognize Bacopa Monnieri Extract,99.2,https://cdn.labdoor.io/w_400/product/images/9a7cd34a-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cd324-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cd36f-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://labdoor.com/review/nootropics-depot-bacognize-bacopa-monnieri-extract/buy/12280,,,
Bacopa monnieri,A+,https://labdoor.com/review/swanson-bacopa-monnieri-extract,Swanson Bacopa Monnieri Extract,99.1,https://cdn.labdoor.io/w_400/product/images/9a7cd202-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cd1de-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cd226-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://labdoor.com/review/swanson-bacopa-monnieri-extract/buy/12522,,,
BCAA,A,https://labdoor.com/review/solgar-bcaa-plus,Solgar BCAA Plus,93.7,https://cdn.labdoor.io/w_400/product/images/9a725e13-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a725df0-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a725e37-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a725e5b-1448-11eb-9dfd-06f7a2c059a3.jpg,https://labdoor.com/review/solgar-bcaa-plus/buy/12454,https://labdoor.com/review/solgar-bcaa-plus/buy/12457,,
BCAA,A,https://labdoor.com/review/musclepharm-bcaa-3-1-2,MusclePharm BCAA 3:1:2,93,https://cdn.labdoor.io/w_400/product/images/9a72107f-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a72105a-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7210a2-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://labdoor.com/review/musclepharm-bcaa-3-1-2/buy/12192,https://labdoor.com/review/musclepharm-bcaa-3-1-2/buy/12191,,
